 initial guess
   0.81000E-10 -0.10000E-01   2000.0    
   400.00     0.23807E+14 0.54417E-12  100.00    
   450.00     0.24279E+14 0.94732E-12  100.00    
   500.00     0.24709E+14 0.14759E-11  100.00    
   550.00     0.25105E+14 0.21211E-11  100.00    
   600.00     0.25471E+14 0.28694E-11  100.00    
   650.00     0.25813E+14 0.37052E-11  100.00    
   700.00     0.26134E+14 0.46125E-11  100.00    
   750.00     0.26436E+14 0.55765E-11  100.00    
   800.00     0.26722E+14 0.65835E-11  100.00    
   850.00     0.26994E+14 0.76219E-11  100.00    
   900.00     0.27252E+14 0.86813E-11  100.00    
   950.00     0.27499E+14 0.97532E-11  100.00    
   1000.0     0.27735E+14 0.10830E-10  100.00    
   1050.0     0.27961E+14 0.11907E-10  100.00    
   1100.0     0.28179E+14 0.12977E-10  100.00    
   1150.0     0.28388E+14 0.14039E-10  100.00    
   1200.0     0.28590E+14 0.15087E-10  100.00    
   1250.0     0.28786E+14 0.16121E-10  100.00    
   1300.0     0.28974E+14 0.17137E-10  100.00    
   1350.0     0.29157E+14 0.18135E-10  100.00    
   1400.0     0.29335E+14 0.19114E-10  100.00    
   1450.0     0.29507E+14 0.20072E-10  100.00    
   1500.0     0.29674E+14 0.21009E-10  100.00    
   1550.0     0.29836E+14 0.21925E-10  100.00    
   1600.0     0.29995E+14 0.22820E-10  100.00    
   1650.0     0.30149E+14 0.23694E-10  100.00    
   1700.0     0.30299E+14 0.24546E-10  100.00    
   1750.0     0.30446E+14 0.25378E-10  100.00    
   1800.0     0.30589E+14 0.26189E-10  100.00    
   1850.0     0.30729E+14 0.26980E-10  100.00    
   1900.0     0.30866E+14 0.27752E-10  100.00    
   1950.0     0.31000E+14 0.28503E-10  100.00    
   2000.0     0.31131E+14 0.29236E-10  100.00    
   2050.0     0.31260E+14 0.29951E-10  100.00    
   2100.0     0.31385E+14 0.30647E-10  100.00    
   2150.0     0.31509E+14 0.31326E-10  100.00    
   2200.0     0.31630E+14 0.31988E-10  100.00    
   2250.0     0.31748E+14 0.32634E-10  100.00    
   2300.0     0.31865E+14 0.33263E-10  100.00    
   2350.0     0.31979E+14 0.33877E-10  100.00    
   2400.0     0.32092E+14 0.34476E-10  100.00    
   2450.0     0.32202E+14 0.35060E-10  100.00    
   2500.0     0.32311E+14 0.35630E-10  100.00    
 results for iteration           1
 chi   1.2476    lamda  0.10000E-03
 params
    116.99       3.2836      -3016.0    
   0.70452E+26   3.2836      -5992.8    
   400.00     0.23807E+14 0.77060E+14  223.68    
   450.00     0.24279E+14 0.49085E+14  102.17    
   500.00     0.24709E+14 0.35492E+14  43.638    
   550.00     0.25105E+14 0.28047E+14  11.720    
   600.00     0.25471E+14 0.23633E+14  7.2170    
   650.00     0.25813E+14 0.20880E+14  19.110    
   700.00     0.26134E+14 0.19120E+14  26.841    
   750.00     0.26436E+14 0.17994E+14  31.935    
   800.00     0.26722E+14 0.17298E+14  35.266    
   850.00     0.26994E+14 0.16910E+14  37.357    
   900.00     0.27252E+14 0.16751E+14  38.533    
   950.00     0.27499E+14 0.16771E+14  39.014    
   1000.0     0.27735E+14 0.16934E+14  38.944    
   1050.0     0.27961E+14 0.17217E+14  38.425    
   1100.0     0.28179E+14 0.17603E+14  37.530    
   1150.0     0.28388E+14 0.18081E+14  36.309    
   1200.0     0.28590E+14 0.18640E+14  34.802    
   1250.0     0.28786E+14 0.19275E+14  33.039    
   1300.0     0.28974E+14 0.19982E+14  31.036    
   1350.0     0.29157E+14 0.20756E+14  28.815    
   1400.0     0.29335E+14 0.21595E+14  26.386    
   1450.0     0.29507E+14 0.22497E+14  23.757    
   1500.0     0.29674E+14 0.23462E+14  20.935    
   1550.0     0.29836E+14 0.24488E+14  17.925    
   1600.0     0.29995E+14 0.25575E+14  14.735    
   1650.0     0.30149E+14 0.26723E+14  11.362    
   1700.0     0.30299E+14 0.27933E+14  7.8093    
   1750.0     0.30446E+14 0.29204E+14  4.0800    
   1800.0     0.30589E+14 0.30537E+14 0.17116    
   1850.0     0.30729E+14 0.31932E+14  3.9149    
   1900.0     0.30866E+14 0.33391E+14  8.1793    
   1950.0     0.31000E+14 0.34913E+14  12.623    
   2000.0     0.31131E+14 0.36501E+14  17.249    
   2050.0     0.31260E+14 0.38154E+14  22.054    
   2100.0     0.31385E+14 0.39874E+14  27.049    
   2150.0     0.31509E+14 0.41662E+14  32.223    
   2200.0     0.31630E+14 0.43519E+14  37.588    
   2250.0     0.31748E+14 0.45446E+14  43.147    
   2300.0     0.31865E+14 0.47444E+14  48.892    
   2350.0     0.31979E+14 0.49515E+14  54.836    
   2400.0     0.32092E+14 0.51659E+14  60.973    
   2450.0     0.32202E+14 0.53878E+14  67.314    
   2500.0     0.32311E+14 0.56174E+14  73.853    
 results for iteration           2
 chi  0.22593    lamda  0.10000E-04
 params
   0.19818E+09   1.5024      -1266.8    
   0.11935E+33   1.5024      -2517.1    
   400.00     0.23807E+14 0.38183E+14  60.387    
   450.00     0.24279E+14 0.32056E+14  32.031    
   500.00     0.24709E+14 0.28340E+14  14.694    
   550.00     0.25105E+14 0.25975E+14  3.4655    
   600.00     0.25471E+14 0.24433E+14  4.0761    
